time;send_diff;receive_diff;;;
166589,6002;10,194674;10,196129;;;
166599,7911;10,194295;10,190883;;;
166609,9855;10,194175;10,194402;;;
166620,1835;11,001039;10,19804;;;
166630,3788;9,390088;10,195308;;;
166640,5955;10,194113;10,216653;;;
166650,766;10,194197;10,170473;;;
166660,9618;10,19417;10,195882;;;
166671,1565;10,780052;10,194647;;;
166681,3496;9,609927;10,193094;;;
166691,5442;10,194276;10,19458;;;
166701,739;10,194252;10,194867;;;
166711,9328;10,194292;10,193752;;;
166722,1273;10,520913;10,19453;;;
166732,3222;9,867758;10,194881;;;
166742,5166;10,19413;10,194398;;;
166752,7118;10,1943;10,195187;;;
166762,9062;10,196011;10,194442;;;
166773,1012;11,094831;10,195018;;;
166783,2956;9,29343;10,19435;;;
166793,4889;10,19425;10,193292;;;
166803,6839;10,194078;10,194985;;;
166813,8794;10,19413;10,195569;;;
166824,0738;10,194211;10,194415;;;
166834,2673;10,194235;10,193471;;;
166844,4622;10,194308;10,194892;;;
166854,6595;10,196032;10,197282;;;
166864,8512;10,194056;10,191699;;;
166875,0465;10,194288;10,195311;;;
166885,2392;10,194237;10,192677;;;
166895,4335;10,194175;10,194356;;;
166905,6285;10,194117;10,194936;;;
166915,8228;10,194262;10,194348;;;
166926,0163;10,19421;10,193478;;;
166936,2128;10,194075;10,19653;;;
166946,4071;10,196438;10,194291;;;
166956,6035;10,194315;10,196407;;;
166966,7961;10,194445;10,192554;;;
166976,9906;10,194386;10,194507;;;
166987,185;11,020362;10,194441;;;
166997,3802;9,368232;10,19516;;;
167007,5816;10,194224;10,201371;;;
167017,7679;10,1943;10,186361;;;
167027,9648;10,194177;10,196919;;;
167038,1598;10,781517;10,194955;;;
167048,3545;9,609025;10,194754;;;
167058,5473;10,194219;10,192795;;;
167068,7415;10,194256;10,194115;;;
167078,9383;10,194356;10,196893;;;
167089,1315;10,522224;10,193166;;;
167099,326;9,866448;10,194489;;;
167109,5254;10,194277;10,199377;;;
167119,7154;10,194259;10,19003;;;
167129,9098;10,196108;10,19444;;;
167140,1042;11,160538;10,194339;;;
167150,3015;9,228053;10,197331;;;
167160,4929;10,19432;10,191347;;;
167170,6872;10,194201;10,194348;;;
167180,8815;10,19425;10,194325;;;
167191,0759;10,194184;10,19434;;;
167201,2713;10,194295;10,19547;;;
167211,4679;10,194285;10,196589;;;
167221,6619;10,196263;10,193978;;;
167231,8554;10,194208;10,193502;;;
167242,0504;10,194581;10,195019;;;
167252,2441;10,194257;10,193656;;;
167262,4384;10,194259;10,194356;;;
167272,6336;10,194204;10,195138;;;
167282,8278;10,194254;10,194254;;;
167293,0449;10,19423;10,217095;;;
167303,2181;10,194039;10,173152;;;
167313,413;10,196149;10,194909;;;
167323,6289;10,194245;10,215859;;;
167333,8004;10,194472;10,171538;;;
167343,9954;10,194271;10,195018;;;
167354,1893;11,03506;10,193877;;;
167364,3836;9,353624;10,194299;;;
167374,5782;10,194194;10,194646;;;
167384,7721;10,194178;10,19387;;;
167394,9682;10,194179;10,196116;;;
167405,1632;10,792975;10,195007;;;
167415,3574;9,597395;10,194175;;;
167425,5515;10,19447;10,19407;;;
167435,7457;10,194311;10,19423;;;
167445,9422;10,194361;10,196488;;;
167456,1347;10,535523;10,19249;;;
167466,329;9,852913;10,19433;;;
167476,5232;10,194302;10,194178;;;
167486,7205;10,194318;10,197287;;;
167496,9138;10,19612;10,193348;;;
167507,1081;10,295087;10,194315;;;
167517,3027;10,093348;10,194553;;;
167527,5;10,194278;10,197323;;;
167537,6922;10,194298;10,192191;;;
167547,8855;10,194244;10,193289;;;
167558,0799;10,194485;10,194371;;;
167568,2753;10,194287;10,195423;;;
167578,4714;10,194287;10,196113;;;
167588,6646;10,195951;10,193232;;;
167598,8593;10,194394;10,194707;;;
167609,0608;10,194781;10,201491;;;
167619,2484;10,194299;10,187586;;;
167629,4428;10,194358;10,194422;;;
167639,6374;10,194188;10,194587;;;
167649,8321;10,194237;10,194722;;;
167660,0257;10,194241;10,193568;;;
167670,2219;10,194198;10,196177;;;
167680,4172;10,196154;10,195319;;;
167690,6111;10,194226;10,193924;;;
167700,8062;10,194464;10,195061;;;
167710,9995;10,194128;10,193296;;;
167721,1935;11,050504;10,194005;;;
167731,3878;9,338082;10,194296;;;
167741,5819;10,194136;10,194092;;;
167751,7764;10,194179;10,194479;;;
167761,9733;10,194178;10,196887;;;
167772,1668;10,806935;10,193555;;;
167782,3613;9,583523;10,194517;;;
167792,5562;10,194576;10,194876;;;
167802,7506;10,194165;10,194418;;;
167812,9446;10,194123;10,193974;;;
167823,1384;10,548633;10,193851;;;
167833,3339;9,839998;10,195445;;;
167843,5273;10,194145;10,193439;;;
167853,7248;10,194295;10,197476;;;
167863,9198;10,196021;10,194991;;;
167874,1123;10,312511;10,192545;;;
167884,3071;10,076627;10,194734;;;
167894,5011;10,194125;10,193979;;;
167904,6974;10,194112;10,196354;;;
167914,8907;10,194134;10,193329;;;
167925,0854;10,194595;10,194626;;;
167935,2914;10,194176;10,206055;;;
167945,4764;10,194508;10,184967;;;
167955,6706;10,196142;10,194227;;;
167965,865;10,194308;10,194366;;;
167976,0585;10,194505;10,193548;;;
167986,2528;10,19427;10,194323;;;
167996,4483;10,194546;10,195462;;;
168006,6423;10,194126;10,194034;;;
168016,8368;10,194203;10,19448;;;
168027,0302;10,194428;10,19338;;;
168037,2273;10,194399;10,197064;;;
168047,4221;10,196123;10,194794;;;
168057,6152;10,194219;10,193099;;;
168067,8097;10,194277;10,194576;;;
168078,0039;10,194214;10,194171;;;
168088,1988;11,068143;10,194915;;;
168098,3926;9,320187;10,193732;;;
168108,587;10,194323;10,194411;;;
168118,7811;10,194262;10,194112;;;
168128,978;10,194053;10,196886;;;
